Style,Clothing,Category
ethnic,kimono,dress
ethnic,poncho,coat
ethnic,djellaba,dress
ethnic,embroidered tunic,top
ethnic,boubou,dress
ethnic,dirndl,dress
ethnic,cheongsam,dress
ethnic,sarong,bottoms
ethnic,thawb,dress
ethnic,abaya,dress
ethnic,kanzu,dress
ethnic,huipil,top
ethnic,thobe,dress
